Date;Albert Heijn;Dirk;Jumbo
2020/08/25;10.99;9.99;16.89
2020/08/25;10.99;9.99;16.89
2020/08/25;10.99;9.99;16.89
2020/08/25;10.99;9.99;16.89
2020/08/26;10.99;9.99;16.89
2020/09/01;17.19;nan;16.89
2020/09/02;17.19;nan;16.89
2020/09/05;17.19;16.49;16.89
2020/09/09;9.99;16.49;16.89
2020/09/10;9.99;16.49;16.89
2020/09/16;17.19;9.99;16.89
2020/09/17;17.19;9.99;16.89
2020/09/18;17.19;9.99;16.89
2020/09/21;17.19;16.49;16.89
2020/09/22;17.19;16.49;16.89
2020/09/23;17.19;16.49;16.89
2020/09/24;17.19;16.49;16.89
2020/09/25;17.19;16.49;16.89
2020/09/26;17.19;16.49;16.89
2020/09/27;17.19;16.49;16.89
