Date;Albert Heijn;Dirk;Jumbo
2020/08/25;17.29;16.79;16.99
2020/08/25;17.29;16.79;16.99
2020/08/25;17.29;16.79;16.99
2020/08/25;17.29;16.79;16.99
2020/08/26;17.29;16.79;16.99
2020/09/01;17.29;16.79;16.99
2020/09/02;17.29;16.79;16.99
2020/09/05;17.29;16.79;16.99
2020/09/09;17.29;8.99;16.99
2020/09/10;17.29;8.99;16.99
2020/09/16;9.99;16.79;16.99
2020/09/17;9.99;16.79;16.99
2020/09/18;9.99;16.79;16.99
2020/09/21;17.29;16.79;16.99
2020/09/22;17.29;16.79;16.99
2020/09/23;17.29;16.79;16.99
2020/09/24;17.29;16.79;16.99
2020/09/25;17.29;16.79;16.99
2020/09/26;17.29;16.79;16.99
2020/09/27;17.29;9.49;16.99
2020/09/28;17.29;9.49;16.99
2020/09/29;17.29;9.49;16.99
2020/09/30;17.29;9.49;16.99
2020/10/01;17.29;9.49;16.99
2020/10/02;17.29;9.49;16.99
2020/10/03;17.29;9.49;16.99
2020/10/04;17.29;16.79;16.99
2020/10/05;8.99;16.79;16.99
2020/10/06;8.99;16.79;16.99
2020/10/12;17.29;16.79;16.99
2020/10/13;17.29;16.79;16.99
2020/10/14;17.29;16.79;16.99
2020/10/15;17.29;16.79;16.99
2020/10/16;17.29;16.79;16.99
2020/10/17;17.29;16.79;16.99
2020/10/18;17.29;nan;16.99
2020/10/19;17.29;8.99;16.99
2020/10/20;17.29;8.99;16.99
2020/10/21;17.29;8.99;16.99
2020/10/22;17.29;8.99;16.99
2020/10/23;17.29;8.99;16.99
2020/10/24;17.29;8.99;16.99
2020/10/25;17.29;16.79;16.99
2020/10/26;9.99;16.79;16.99
2020/10/28;9.99;16.79;16.99
2020/10/29;9.99;16.79;16.99
2020/10/30;9.99;16.79;16.99
2020/10/31;9.99;16.79;16.99
2020/11/01;9.99;16.79;16.99
2020/11/02;17.29;16.79;16.99
2020/11/03;17.29;16.79;16.99
2020/11/04;17.29;16.79;16.99
2020/11/05;17.29;16.79;16.99
2020/11/06;17.29;16.79;16.99
2020/11/07;17.29;16.79;16.99
2020/11/08;17.29;nan;16.99
2020/11/09;17.29;8.99;16.99
2020/11/12;17.29;8.99;16.99
2020/11/13;17.29;8.99;16.99
2020/11/14;17.29;8.99;16.99
2020/11/15;17.29;16.79;16.99
2020/11/16;9.99;16.79;16.99
2020/11/17;9.99;16.79;16.99
2020/11/18;9.99;16.79;16.99
2020/11/19;9.99;16.79;16.99
2020/11/20;9.99;16.79;16.99
2020/11/21;9.99;16.79;16.99
2020/11/22;17.29;16.79;16.99
2020/11/23;17.29;16.79;16.99
2020/11/25;17.29;16.79;16.99
2020/11/26;17.29;16.79;16.99
2020/11/27;17.29;16.79;16.99
2020/11/30;9.99;16.79;16.99
2020/12/01;9.99;16.79;16.99
2020/12/02;9.99;16.79;16.99
2020/12/03;9.99;16.79;16.99
2020/12/04;9.99;16.79;16.99
2020/12/05;9.99;16.79;16.99
2020/12/06;17.29;8.99;16.99
2020/12/07;17.29;8.99;16.99
2020/12/08;17.29;8.99;16.99
2020/12/09;17.29;8.99;16.99
2020/12/10;17.29;8.99;16.99
2020/12/11;17.29;8.99;16.99
2020/12/13;17.29;nan;16.99
2020/12/14;8.99;16.79;16.99
2020/12/15;8.99;16.79;16.99
2020/12/16;8.99;16.79;16.99
2020/12/17;8.99;16.79;16.99
2020/12/18;8.99;16.79;16.99
2020/12/19;8.99;16.79;16.99
2020/12/20;8.99;8.79;16.99
2020/12/21;17.29;8.79;16.99
2020/12/22;17.29;8.79;16.99
2020/12/23;17.29;8.79;16.99
