Date;Albert Heijn;Dirk;Jumbo
2020/08/25;17.29;16.39;16.99
2020/08/25;17.29;16.39;16.99
2020/08/25;17.29;16.39;16.99
2020/08/25;17.29;16.39;16.99
2020/08/26;17.29;16.39;16.99
2020/09/01;10.99;9.99;16.99
2020/09/02;10.99;nan;16.99
2020/09/05;10.99;9.99;16.99
2020/09/09;17.29;nan;16.99
2020/09/10;17.29;nan;16.99
2020/09/16;17.29;14.39;16.99
2020/09/17;17.29;14.39;16.99
2020/09/18;17.29;14.39;16.99
2020/09/21;10.49;9.99;16.99
2020/09/22;10.49;9.99;16.99
2020/09/23;10.49;9.99;16.99
2020/09/24;10.49;9.99;16.99
2020/09/25;10.49;9.99;16.99
2020/09/26;10.49;9.99;16.99
2020/09/27;10.49;14.39;16.99
2020/09/28;17.29;14.39;16.99
2020/09/29;17.29;14.39;16.99
2020/09/30;17.29;14.39;16.99
2020/10/01;17.29;14.39;16.99
2020/10/02;17.29;14.39;16.99
2020/10/03;17.29;14.39;16.99
2020/10/04;17.29;14.39;16.99
2020/10/05;17.29;14.39;16.99
2020/10/06;17.29;14.39;16.99
2020/10/12;17.29;14.39;16.99
2020/10/13;17.29;14.39;16.99
2020/10/14;17.29;14.39;16.99
2020/10/15;17.29;14.39;16.99
2020/10/16;17.29;14.39;16.99
2020/10/17;17.29;14.39;16.99
2020/10/18;17.29;14.39;16.99
2020/10/19;15.99;nan;16.99
2020/10/20;15.99;15.29;16.99
2020/10/21;15.99;15.29;16.99
2020/10/22;15.99;15.29;16.99
2020/10/23;15.99;15.29;16.99
2020/10/24;15.99;15.29;16.99
2020/10/25;15.99;9.99;16.99
2020/10/26;15.99;9.99;16.99
2020/10/28;15.99;9.99;15.69
2020/10/29;15.99;9.99;15.69
2020/10/30;15.99;9.99;15.69
2020/10/31;15.99;9.99;15.69
2020/11/01;15.99;15.29;15.69
2020/11/02;10.49;15.29;15.69
2020/11/03;10.49;15.29;15.69
2020/11/04;10.49;15.29;15.69
2020/11/05;10.49;15.29;15.69
2020/11/06;10.49;15.29;15.69
2020/11/07;10.49;15.29;15.69
2020/11/08;10.49;15.29;15.69
2020/11/09;15.99;nan;15.69
2020/11/12;15.99;15.49;15.69
2020/11/13;15.99;15.49;15.69
2020/11/14;15.99;15.49;15.69
2020/11/15;15.99;9.99;15.69
2020/11/16;15.99;9.99;15.69
2020/11/17;15.99;9.99;15.69
2020/11/18;15.99;9.99;15.69
2020/11/19;15.99;9.99;15.69
2020/11/20;15.99;9.99;15.69
2020/11/21;15.99;9.99;15.69
2020/11/22;15.99;15.49;15.69
2020/11/23;10.49;15.49;15.69
2020/11/25;10.49;15.49;15.69
2020/11/26;10.49;15.49;15.69
2020/11/27;10.49;15.49;15.69
2020/11/30;15.99;15.49;15.69
2020/12/01;17.29;15.49;16.99
2020/12/02;17.29;15.49;16.99
2020/12/03;17.29;15.49;16.99
2020/12/04;17.29;15.49;16.99
2020/12/05;17.29;15.49;16.99
2020/12/06;17.29;15.49;16.99
2020/12/07;17.29;15.49;16.99
2020/12/08;17.29;15.49;16.99
2020/12/09;17.29;15.49;16.99
2020/12/10;17.29;15.49;16.99
2020/12/11;17.29;15.49;16.99
2020/12/13;17.29;nan;16.99
2020/12/14;9.99;9.99;16.99
2020/12/15;9.99;9.99;16.99
2020/12/16;9.99;9.99;16.99
2020/12/17;9.99;9.99;16.99
2020/12/18;9.99;9.99;16.99
2020/12/19;9.99;9.99;16.99
2020/12/20;9.99;15.49;16.99
2020/12/21;17.29;15.79;16.99
2020/12/22;17.29;15.79;16.99
2020/12/23;17.29;15.79;16.99
